Doc Id 	 Term weights 
007 	 3.620 
018 	 3.060 
001 	 2.550 
007 	 1.980 
005 	 4.800 
003 	 3.440 
011 	 1.430 
008 	 2.250 
010 	 2.860 
019 	 2.680 
001 	 1.400 
007 	 0.850 
005 	 3.000 
006 	 3.420 
002 	 2.640 
002 	 2.640 
005 	 3.210 
007 	 2.330 
009 	 2.130 
007 	 0.850 
002 	 0.980 
003 	 7.470 
005 	 4.090 
017 	 6.360 
008 	 2.650 
019 	 1.500 
001 	 2.550 
009 	 1.590 
011 	 2.040 
009 	 1.560 
007 	 2.130 
016 	 1.610 
019 	 2.150 
010 	 1.750 
007 	 1.790 
001 	 2.000 
002 	 3.450 
011 	 2.040 
001 	 2.000 
002 	 1.190 
005 	 1.500 
011 	 6.090 
020 	 6.780 
012 	 3.030 
018 	 3.980 
004 	 2.680 
009 	 1.310 
019 	 1.500 
001 	 1.650 
019 	 2.360 
002 	 0.720 
007 	 0.620 
010 	 2.470 
019 	 1.450 
001 	 2.580 
019 	 2.360 
007 	 2.330 
019 	 1.050 
003 	 5.440 
002 	 1.670 
007 	 2.340 
019 	 0.860 
005 	 4.740 
002 	 2.900 
007 	 1.470 
018 	 3.980 
006 	 4.150 
001 	 2.000 
009 	 2.130 
002 	 0.980 
016 	 2.210 
002 	 1.190 
007 	 1.790 
019 	 3.740 
002 	 3.520 
008 	 3.210 
002 	 2.640 
011 	 3.570 
004 	 2.680 
010 	 4.860 
019 	 2.360 
019 	 2.360 
009 	 1.310 
019 	 1.500 
008 	 2.650 
009 	 1.590 
007 	 1.790 
009 	 2.130 
016 	 2.210 
008 	 2.650 
019 	 2.360 
007 	 7.060 
007 	 5.240 
005 	 4.090 
004 	 3.260 
011 	 3.160 
007 	 2.370 
011 	 2.040 
004 	 2.630 
017 	 1.980 
003 	 1.990 
006 	 2.170 
012 	 2.800 
018 	 1.940 
007 	 8.250 
019 	 3.740 
005 	 4.740 
007 	 4.190 
019 	 2.360 
009 	 1.590 
002 	 2.030 
004 	 3.260 
011 	 2.040 
007 	 1.030 
001 	 2.000 
019 	 3.130 
005 	 3.210 
007 	 2.330 
002 	 0.980 
007 	 1.960 
011 	 2.600 
011 	 4.110 
009 	 1.590 
005 	 2.470 
009 	 1.110 
007 	 2.810 
002 	 0.830 
010 	 2.860 
002 	 1.190 
010 	 2.910 
002 	 1.670 
019 	 0.860 
011 	 1.680 
003 	 4.920 
011 	 2.040 
015 	 3.490 
007 	 1.030 
009 	 3.360 
002 	 3.450 
012 	 4.800 
004 	 4.430 
020 	 2.190 
002 	 1.640 
007 	 2.440 
016 	 1.400 
005 	 3.430 
011 	 2.450 
019 	 4.650 
009 	 2.690 
007 	 1.470 
008 	 2.650 
019 	 2.360 
002 	 2.640 
005 	 4.090 
004 	 3.260 
001 	 2.000 
002 	 2.640 
019 	 3.130 
004 	 4.430 
001 	 2.000 
009 	 1.110 
007 	 0.720 
016 	 1.870 
008 	 2.250 
002 	 1.670 
007 	 0.850 
001 	 1.650 
009 	 3.360 
007 	 2.330 
002 	 1.190 
007 	 1.030 
002 	 0.920 
006 	 1.890 
009 	 1.180 
007 	 1.610 
016 	 1.220 
005 	 3.060 
011 	 2.260 
019 	 3.130 
019 	 2.360 
007 	 2.330 
002 	 0.720 
007 	 2.130 
011 	 1.230 
004 	 1.960 
010 	 1.750 
007 	 5.310 
004 	 3.260 
007 	 0.850 
010 	 2.400 
001 	 2.550 
005 	 4.090 
019 	 1.050 
001 	 2.000 
001 	 7.350 
002 	 1.190 
019 	 1.820 
002 	 3.450 
009 	 0.960 
012 	 2.220 
016 	 1.610 
019 	 1.450 
002 	 0.720 
007 	 2.840 
005 	 1.500 
019 	 2.360 
009 	 1.590 
019 	 1.820 
005 	 5.230 
005 	 4.090 
016 	 6.450 
009 	 1.590 
019 	 1.050 
007 	 2.330 
012 	 3.680 
004 	 3.260 
002 	 1.190 
007 	 1.790 
019 	 1.050 
011 	 2.040 
019 	 1.050 
008 	 3.210 
019 	 2.360 
005 	 5.620 
007 	 5.620 
011 	 2.040 
002 	 4.660 
007 	 1.790 
007 	 4.940 
002 	 1.190 
001 	 2.000 
007 	 1.030 
005 	 1.500 
019 	 3.130 
007 	 2.330 
007 	 3.090 
016 	 2.210 
019 	 0.860 
011 	 1.680 
007 	 3.690 
019 	 0.860 
005 	 1.240 
010 	 2.400 
016 	 5.030 
019 	 2.360 
009 	 3.360 
007 	 2.330 
011 	 4.110 
002 	 1.190 
001 	 2.000 
002 	 0.830 
011 	 2.210 
008 	 2.250 
001 	 2.170 
002 	 0.830 
007 	 0.720 
019 	 1.270 
001 	 1.400 
009 	 1.590 
007 	 3.220 
007 	 4.190 
007 	 2.330 
002 	 1.190 
005 	 1.500 
002 	 1.190 
016 	 2.680 
019 	 1.050 
010 	 2.910 
005 	 5.620 
005 	 3.640 
019 	 1.050 
009 	 3.360 
002 	 3.450 
005 	 3.210 
009 	 1.810 
002 	 1.420 
011 	 2.210 
001 	 1.400 
007 	 4.190 
014 	 4.160 
006 	 4.150 
005 	 3.210 
007 	 1.030 
011 	 2.040 
011 	 2.600 
019 	 3.160 
001 	 1.650 
019 	 6.130 
005 	 3.210 
002 	 4.990 
002 	 5.330 
002 	 1.190 
019 	 1.050 
007 	 0.850 
011 	 1.680 
010 	 2.400 
009 	 2.580 
019 	 1.050 
001 	 7.960 
007 	 3.690 
011 	 4.110 
002 	 0.980 
007 	 3.320 
016 	 3.180 
007 	 2.370 
019 	 1.050 
002 	 0.720 
007 	 0.620 
011 	 1.230 
019 	 0.630 
001 	 1.200 
008 	 5.620 
001 	 3.800 
005 	 3.140 
019 	 1.050 
007 	 6.500 
007 	 4.600 
011 	 4.110 
002 	 3.160 
019 	 0.860 
008 	 2.650 
002 	 2.030 
019 	 1.050 
008 	 4.390 
001 	 3.800 
007 	 3.690 
005 	 4.090 
002 	 1.190 
010 	 2.910 
009 	 3.360 
005 	 4.090 
009 	 1.590 
019 	 1.820 
019 	 2.360 
020 	 4.180 
011 	 2.040 
009 	 3.360 
005 	 4.090 
019 	 2.360 
002 	 2.030 
019 	 1.050 
005 	 4.740 
002 	 8.390 
011 	 4.110 
019 	 4.060 
001 	 4.630 
007 	 2.650 
011 	 1.680 
001 	 2.550 
005 	 4.740 
007 	 1.030 
004 	 3.260 
015 	 2.440 
011 	 1.430 
005 	 4.240 
019 	 1.680 
005 	 3.210 
019 	 2.410 
001 	 2.000 
009 	 1.590 
019 	 1.050 
011 	 4.110 
007 	 1.790 
019 	 1.820 
002 	 1.190 
019 	 1.050 
009 	 1.590 
019 	 1.050 
007 	 1.030 
010 	 2.910 
007 	 2.330 
009 	 3.360 
002 	 1.190 
019 	 1.050 
007 	 2.370 
011 	 2.040 
002 	 2.030 
007 	 2.370 
005 	 3.210 
019 	 2.360 
002 	 2.030 
005 	 1.500 
005 	 4.940 
003 	 3.820 
009 	 2.130 
002 	 2.580 
001 	 2.550 
005 	 4.090 
015 	 3.490 
006 	 5.650 
009 	 1.590 
019 	 1.050 
019 	 2.360 
007 	 5.240 
010 	 5.330 
005 	 5.230 
019 	 4.240 
002 	 2.030 
007 	 1.030 
007 	 3.090 
002 	 1.190 
019 	 2.880 
002 	 1.190 
006 	 4.150 
007 	 2.330 
007 	 2.330 
009 	 1.590 
007 	 1.030 
005 	 7.490 
005 	 2.470 
011 	 2.040 
007 	 4.600 
002 	 1.190 
019 	 1.820 
009 	 1.590 
007 	 1.790 
009 	 2.690 
002 	 2.900 
014 	 3.430 
006 	 6.740 
019 	 2.410 
001 	 3.100 
007 	 1.030 
011 	 2.040 
010 	 4.630 
019 	 0.860 
001 	 1.650 
005 	 3.210 
019 	 2.360 
002 	 3.450 
005 	 3.140 
003 	 3.820 
005 	 2.470 
019 	 1.050 
002 	 0.980 
005 	 2.040 
019 	 1.500 
009 	 3.270 
007 	 1.030 
007 	 2.650 
004 	 2.680 
011 	 2.600 
005 	 5.230 
002 	 2.030 
007 	 1.030 
002 	 1.850 
007 	 0.720 
011 	 1.430 
001 	 1.400 
002 	 2.640 
005 	 3.210 
002 	 2.460 
007 	 1.660 
016 	 1.870 
019 	 2.010 
002 	 0.980 
019 	 0.860 
001 	 1.650 
007 	 4.190 
002 	 0.830 
007 	 0.720 
018 	 3.380 
019 	 0.730 
002 	 1.190 
019 	 1.820 
007 	 2.330 
019 	 1.050 
001 	 2.000 
019 	 2.360 
005 	 3.210 
005 	 4.740 
007 	 7.190 
011 	 4.110 
007 	 2.330 
007 	 2.330 
007 	 0.850 
016 	 2.210 
011 	 4.910 
007 	 2.330 
009 	 1.590 
002 	 2.650 
015 	 2.880 
007 	 0.850 
019 	 3.350 
005 	 3.210 
002 	 4.990 
007 	 2.840 
001 	 3.100 
007 	 2.330 
012 	 3.030 
018 	 3.060 
004 	 2.680 
007 	 1.030 
019 	 2.880 
007 	 4.190 
007 	 0.850 
019 	 0.860 
010 	 2.400 
007 	 3.690 
007 	 1.470 
016 	 2.210 
019 	 0.860 
002 	 2.650 
019 	 1.050 
001 	 4.940 
007 	 1.790 
005 	 2.470 
009 	 1.590 
011 	 6.310 
019 	 1.820 
003 	 5.440 
007 	 1.030 
001 	 2.000 
009 	 4.250 
005 	 4.090 
014 	 6.760 
007 	 1.030 
019 	 2.410 
009 	 3.360 
005 	 4.090 
007 	 1.790 
019 	 1.050 
008 	 3.210 
001 	 2.000 
019 	 3.130 
007 	 2.330 
002 	 4.080 
015 	 4.640 
007 	 1.030 
005 	 4.090 
002 	 0.830 
007 	 1.980 
019 	 1.270 
010 	 2.030 
002 	 3.830 
019 	 1.050 
002 	 1.190 
005 	 4.770 
005 	 4.460 
003 	 3.140 
019 	 1.500 
003 	 6.400 
002 	 2.640 
007 	 1.030 
005 	 1.500 
009 	 1.590 
004 	 3.260 
009 	 0.960 
007 	 1.430 
019 	 1.450 
005 	 3.260 
006 	 2.500 
009 	 1.590 
007 	 1.030 
019 	 0.480 
003 	 2.240 
010 	 1.330 
002 	 0.920 
007 	 0.470 
005 	 2.600 
014 	 1.900 
009 	 0.960 
007 	 2.810 
016 	 2.730 
002 	 0.720 
008 	 1.930 
012 	 2.570 
007 	 0.720 
019 	 2.280 
001 	 1.400 
005 	 3.210 
019 	 2.360 
002 	 2.640 
009 	 1.110 
010 	 3.590 
019 	 2.010 
001 	 2.650 
009 	 1.310 
019 	 0.860 
010 	 2.400 
015 	 6.040 
007 	 0.850 
019 	 1.500 
011 	 1.680 
005 	 3.210 
009 	 1.110 
007 	 0.720 
011 	 3.270 
010 	 2.030 
019 	 1.050 
008 	 3.210 
005 	 4.090 
009 	 2.130 
007 	 1.960 
002 	 0.980 
002 	 1.190 
007 	 2.370 
019 	 3.740 
004 	 3.260 
011 	 3.160 
016 	 2.680 
001 	 2.000 
019 	 2.360 
009 	 3.360 
002 	 1.190 
001 	 2.000 
009 	 1.590 
001 	 2.000 
005 	 4.090 
002 	 2.190 
016 	 2.210 
001 	 1.650 
007 	 4.600 
005 	 1.500 
008 	 5.800 
002 	 0.980 
007 	 1.470 
011 	 1.680 
009 	 3.360 
019 	 2.360 
007 	 2.340 
017 	 3.120 
019 	 0.860 
002 	 1.670 
016 	 2.210 
019 	 0.860 
007 	 1.030 
004 	 3.260 
009 	 1.310 
007 	 0.850 
001 	 4.350 
002 	 0.980 
007 	 0.850 
001 	 1.650 
005 	 3.210 
009 	 1.310 
007 	 0.850 
011 	 1.680 
004 	 3.260 
011 	 5.160 
002 	 1.190 
007 	 1.030 
005 	 3.210 
002 	 0.980 
007 	 2.340 
019 	 1.500 
009 	 2.580 
019 	 1.820 
002 	 2.640 
019 	 1.050 
006 	 5.650 
019 	 3.740 
009 	 1.310 
002 	 1.670 
008 	 2.650 
019 	 3.130 
002 	 2.030 
001 	 2.000 
009 	 3.360 
009 	 3.360 
009 	 1.110 
007 	 0.720 
004 	 2.280 
005 	 1.050 
002 	 0.980 
005 	 2.590 
003 	 4.050 
019 	 2.360 
019 	 1.050 
006 	 4.150 
009 	 1.590 
016 	 2.680 
007 	 1.030 
005 	 2.470 
007 	 1.030 
016 	 2.680 
009 	 1.590 
016 	 2.680 
007 	 2.330 
019 	 2.360 
002 	 2.900 
019 	 3.350 
001 	 3.530 
005 	 6.420 
007 	 4.190 
007 	 3.690 
005 	 5.230 
019 	 2.360 
011 	 7.390 
002 	 3.450 
009 	 2.580 
015 	 3.490 
016 	 2.210 
005 	 3.760 
019 	 0.860 
007 	 1.030 
019 	 1.820 
019 	 4.240 
002 	 0.980 
019 	 1.500 
001 	 1.650 
005 	 6.610 
009 	 3.270 
002 	 1.190 
009 	 2.130 
007 	 1.470 
010 	 2.400 
002 	 2.640 
009 	 6.550 
016 	 2.680 
010 	 2.910 
005 	 4.090 
007 	 4.190 
009 	 2.580 
019 	 1.050 
007 	 0.720 
011 	 1.430 
019 	 0.730 
001 	 1.400 
019 	 1.050 
008 	 3.210 
002 	 2.640 
002 	 0.830 
007 	 0.720 
016 	 2.700 
011 	 1.430 
005 	 3.210 
019 	 2.880 
001 	 2.000 
002 	 1.190 
019 	 1.820 
016 	 2.680 
019 	 1.820 
007 	 1.250 
016 	 1.870 
019 	 0.730 
001 	 2.650 
009 	 1.590 
007 	 5.000 
007 	 1.030 
019 	 1.820 
007 	 2.330 
019 	 3.740 
009 	 2.580 
007 	 1.030 
007 	 2.340 
005 	 3.000 
019 	 1.980 
005 	 3.210 
005 	 5.640 
019 	 1.050 
009 	 1.590 
016 	 2.680 
002 	 2.640 
019 	 2.360 
002 	 1.190 
019 	 1.050 
019 	 2.360 
002 	 1.190 
019 	 1.050 
007 	 1.470 
008 	 2.650 
010 	 2.400 
011 	 4.110 
015 	 3.820 
002 	 0.980 
019 	 0.860 
019 	 3.130 
002 	 0.720 
007 	 2.420 
016 	 1.610 
019 	 1.090 
011 	 1.230 
009 	 1.310 
016 	 2.210 
019 	 0.860 
002 	 1.190 
007 	 1.030 
016 	 2.680 
019 	 4.260 
002 	 1.190 
007 	 1.030 
011 	 4.110 
014 	 6.760 
007 	 3.690 
009 	 1.310 
016 	 2.210 
010 	 2.400 
005 	 3.210 
019 	 4.240 
019 	 1.050 
010 	 2.910 
007 	 3.090 
007 	 4.190 
002 	 3.140 
019 	 1.050 
002 	 2.640 
005 	 8.190 
002 	 2.640 
009 	 1.590 
001 	 3.100 
002 	 3.450 
010 	 2.910 
001 	 2.000 
009 	 3.360 
012 	 2.570 
018 	 2.590 
004 	 2.280 
011 	 1.430 
007 	 2.330 
019 	 2.360 
019 	 3.740 
007 	 2.330 
004 	 4.430 
001 	 2.000 
009 	 1.590 
007 	 1.790 
011 	 5.010 
001 	 5.570 
019 	 2.360 
009 	 1.310 
002 	 2.190 
016 	 2.210 
019 	 2.360 
015 	 3.490 
007 	 1.030 
016 	 2.680 
008 	 4.990 
002 	 0.980 
016 	 2.210 
019 	 1.500 
001 	 4.030 
005 	 3.210 
019 	 2.360 
007 	 3.090 
005 	 1.500 
019 	 2.880 
002 	 2.640 
009 	 1.110 
007 	 1.250 
016 	 1.870 
002 	 0.830 
011 	 4.110 
005 	 3.210 
001 	 4.030 
009 	 1.810 
007 	 1.250 
019 	 0.730 
008 	 2.250 
002 	 2.030 
019 	 1.050 
007 	 3.090 
002 	 0.810 
001 	 0.800 
009 	 0.630 
007 	 1.410 
011 	 1.530 
016 	 1.070 
005 	 2.290 
019 	 0.420 
007 	 2.330 
002 	 0.980 
007 	 1.470 
004 	 2.680 
009 	 2.670 
002 	 2.810 
016 	 1.610 
019 	 2.560 
008 	 2.640 
005 	 3.210 
019 	 2.360 
005 	 4.090 
005 	 8.110 
010 	 3.370 
019 	 3.350 
001 	 3.130 
019 	 2.360 
007 	 2.840 
019 	 1.820 
002 	 1.190 
019 	 1.820 
002 	 1.190 
019 	 1.820 
007 	 2.330 
019 	 2.360 
009 	 0.960 
007 	 1.430 
010 	 2.470 
019 	 0.630 
001 	 1.200 
002 	 4.580 
009 	 3.360 
009 	 1.590 
002 	 1.190 
019 	 2.360 
012 	 3.680 
004 	 3.260 
018 	 6.280 
019 	 3.130 
009 	 2.580 
004 	 3.260 
002 	 4.580 
005 	 4.090 
002 	 1.190 
007 	 1.030 
005 	 5.230 
019 	 4.060 
001 	 3.800 
009 	 1.310 
002 	 0.980 
001 	 1.650 
007 	 1.470 
019 	 0.860 
011 	 3.860 
009 	 1.590 
007 	 1.790 
019 	 2.360 
007 	 2.330 
018 	 3.710 
019 	 1.050 
019 	 1.820 
008 	 3.210 
007 	 1.030 
019 	 1.050 
001 	 4.030 
014 	 4.160 
006 	 4.150 
005 	 3.210 
002 	 2.640 
002 	 2.640 
005 	 5.620 
002 	 1.600 
016 	 1.610 
018 	 2.230 
019 	 0.630 
001 	 1.200 
009 	 1.590 
019 	 1.820 
004 	 3.260 
011 	 3.160 
005 	 3.640 
019 	 1.050 
002 	 3.450 
002 	 5.330 
009 	 1.590 
007 	 1.030 
007 	 2.330 
002 	 3.450 
011 	 4.110 
019 	 1.820 
001 	 2.000 
011 	 4.110 
007 	 0.850 
019 	 0.860 
008 	 2.650 
002 	 2.640 
007 	 2.330 
009 	 1.590 
016 	 2.680 
002 	 2.640 
007 	 4.190 
007 	 3.090 
002 	 0.830 
007 	 1.980 
016 	 1.870 
001 	 2.650 
002 	 2.640 
007 	 1.030 
005 	 2.470 
020 	 6.780 
002 	 1.190 
008 	 3.210 
019 	 3.130 
005 	 4.020 
019 	 1.050 
002 	 4.080 
002 	 4.930 
019 	 1.820 
007 	 2.330 
007 	 2.330 
016 	 2.680 
019 	 1.050 
019 	 2.360 
005 	 3.210 
016 	 2.210 
017 	 3.120 
008 	 2.650 
011 	 4.110 
007 	 3.690 
009 	 1.590 
002 	 1.190 
002 	 3.450 
007 	 2.330 
019 	 1.050 
001 	 2.000 
005 	 3.210 
007 	 3.690 
009 	 1.590 
007 	 1.030 
002 	 2.640 
002 	 3.450 
002 	 2.640 
002 	 2.460 
008 	 2.250 
004 	 2.280 
001 	 2.170 
007 	 3.220 
019 	 1.050 
019 	 2.360 
005 	 3.210 
009 	 1.590 
011 	 2.040 
012 	 3.680 
004 	 3.260 
012 	 3.030 
004 	 2.680 
010 	 2.400 
007 	 1.030 
019 	 3.570 
009 	 1.310 
017 	 3.120 
019 	 0.860 
005 	 3.210 
002 	 1.420 
019 	 1.270 
014 	 2.910 
008 	 2.250 
009 	 2.280 
007 	 1.250 
002 	 0.830 
011 	 1.430 
019 	 1.820 
001 	 2.000 
012 	 6.960 
017 	 7.450 
002 	 1.190 
007 	 1.030 
005 	 1.500 
001 	 3.100 
009 	 4.250 
002 	 1.190 
007 	 2.370 
009 	 1.110 
007 	 1.250 
019 	 1.270 
002 	 1.850 
019 	 1.050 
011 	 2.040 
004 	 5.640 
005 	 1.500 
007 	 2.330 
009 	 1.110 
007 	 1.660 
019 	 3.630 
002 	 1.850 
007 	 2.370 
019 	 1.820 
009 	 1.590 
011 	 2.040 
005 	 3.210 
002 	 2.030 
019 	 1.050 
002 	 1.190 
007 	 1.030 
005 	 3.210 
019 	 1.820 
001 	 2.000 
007 	 0.850 
016 	 3.730 
019 	 0.860 
005 	 7.420 
007 	 1.790 
019 	 1.050 
